Individual code	Accession	Species	Origin	URL
TS-14	SRX697461	S. pimpinellifolium	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1571027/SRR1571027.2
TS-15	SRX698375	S. pimpinellifolium	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR1572233/SRR1572233.1
TS-16	SRX698376	S. pimpinellifolium	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572234/SRR1572234.2
TS-17	SRX698377	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR1572235/SRR1572235.2
TS-18	SRX698378	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572236/SRR1572236.2
TS-19	SRX698379	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572237/SRR1572237.2
TS-20	SRX698380	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572238/SRR1572238.2
TS-21	SRX698381	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572239/SRR1572239.2
TS-22	SRX698382	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572240/SRR1572240.2
TS-23	SRX698383	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572241/SRR1572241.2
TS-50	SRX698385	S. pimpinellifolium	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572243/SRR1572243.1
TS-77	SRX698386	S. pimpinellifolium	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572244/SRR1572244.1
TS-79	SRX698387	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572245/SRR1572245.1
TS-92	SRX698388	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572246/SRR1572246.1
TS-123	SRX698389	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572247/SRR1572247.1
TS-124	SRX698390	S. pimpinellifolium	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572248/SRR1572248.1
TS-144	SRX698391	S. pimpinellifolium	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572249/SRR1572249.1
TS-145	SRX698392	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572250/SRR1572250.1
TS-156	SRX698393	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572251/SRR1572251.1
TS-164	SRX698395	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572253/SRR1572253.1
TS-182	SRX698396	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572254/SRR1572254.1
TS-244	SRX698398	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572256/SRR1572256.1
TS-265	SRX698399	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572257/SRR1572257.1
TS-266	SRX698400	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572258/SRR1572258.1
TS-291	SRX698404	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572262/SRR1572262.1
TS-412	SRX698410	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572268/SRR1572268.1
TS-414	SRX698412	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572270/SRR1572270.1
TS-415	SRX698413	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572271/SRR1572271.1
TS-417	SRX698415	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572273/SRR1572273.1
TS-418	SRX698416	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572274/SRR1572274.1
TS-420	SRX698418	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572276/SRR1572276.1
TS-421	SRX698419	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572277/SRR1572277.1
TS-434	SRX698429	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572287/SRR1572287.1
TS-435	SRX698430	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572288/SRR1572288.1
TS-437	SRX698431	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572289/SRR1572289.1
TS-439	SRX698434	S. pimpinellifolium	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572292/SRR1572292.1
TS-440	SRX698435	S. pimpinellifolium	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572293/SRR1572293.1
TS-31	SRX698451	S. lycopersicum var cerasiforme	Honduras	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR1572309/SRR1572309.1
TS-34	SRX698456	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR1572314/SRR1572314.1
TS-53	SRX698468	S. lycopersicum var cerasiforme	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572326/SRR1572326.1
TS-56	SRX698470	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572328/SRR1572328.1
TS-57	SRX698471	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572329/SRR1572329.1
TS-61	SRX698473	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572330/SRR1572330.1
TS-66	SRX698480	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572338/SRR1572338.1
TS-87	SRX698490	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572348/SRR1572348.1
TS-96	SRX698495	S. lycopersicum var cerasiforme	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572353/SRR1572353.1
TS-129	SRX698514	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572372/SRR1572372.1
TS-134	SRX698516	S. lycopersicum var cerasiforme	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572374/SRR1572374.1
TS-148	SRX698518	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572376/SRR1572376.1
TS-158	SRX698521	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572379/SRR1572379.1
TS-181	SRX698524	S. lycopersicum var cerasiforme	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572382/SRR1572382.1
TS-202	SRX698527	S. lycopersicum var cerasiforme	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572385/SRR1572385.1
TS-223	SRX698535	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572393/SRR1572393.1
TS-229	SRX698539	S. lycopersicum var cerasiforme	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572397/SRR1572397.1
TS-238	SRX698544	S. lycopersicum var cerasiforme	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572402/SRR1572402.1
TS-262	SRX698558	S. lycopersicum var cerasiforme	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572416/SRR1572416.1
TS-273	SRX698560	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572418/SRR1572418.1
TS-281	SRX698563	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572421/SRR1572421.1
TS-295	SRX698573	S. lycopersicum var cerasiforme	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572431/SRR1572431.1
TS-298	SRX698575	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572433/SRR1572433.1
TS-299	SRX698577	S. lycopersicum var cerasiforme	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572435/SRR1572435.1
TS-300	SRX698579	S. lycopersicum var cerasiforme	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572437/SRR1572437.1
TS-301	SRX698580	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572438/SRR1572438.1
TS-304	SRX698584	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572442/SRR1572442.1
TS-68	SRX698622	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572480/SRR1572480.1
TS-127	SRX698666	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572524/SRR1572524.1
TS-135	SRX698672	S. lycopersicum	Chile	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572530/SRR1572530.1
TS-150	SRX698683	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572541/SRR1572541.1
TS-184	SRX698717	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572575/SRR1572575.1
TS-241	SRX698764	S. lycopersicum	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572621/SRR1572621.1
TS-242	SRX698765	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572623/SRR1572623.1
TS-256	SRX698772	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572630/SRR1572630.1
TS-261	SRX698774	S. lycopersicum	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572632/SRR1572632.1
TS-146	SRX698827	S. neorickii	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572685/SRR1572685.1
TS-208	SRX698828	S. galapagense	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572686/SRR1572686.1
TS-199	SRX698830	S. cheesmaniae	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572688/SRR1572688.1
TS-207	SRX698831	S. cheesmaniae	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572689/SRR1572689.1
TS-217	SRX698832	S. cheesmaniae	Ecuador	 https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572690/SRR1572690.1
TS-408	SRX698838	S. chilense	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572696/SRR1572696.1
